item_id,annotator,label
1,annotator_A,positive
1,annotator_B,positive
1,annotator_C,neutral
2,annotator_A,negative
2,annotator_B,negative
2,annotator_C,negative
3,annotator_A,positive
3,annotator_B,neutral
3,annotator_C,positive
4,annotator_A,neutral
4,annotator_B,neutral
4,annotator_C,neutral
5,annotator_A,negative
5,annotator_B,positive
5,annotator_C,negative
6,annotator_A,positive
6,annotator_B,positive
6,annotator_C,positive
7,annotator_A,neutral
7,annotator_B,negative
7,annotator_C,neutral
8,annotator_A,negative
8,annotator_B,negative
8,annotator_C,positive
